classes,cohesion,coupling,fitness
24,5.898778998778999,32.481387182853354,-26.582608184074353
3,0.1998012934149006,0.17642229400894358,0.02337899940595703
5,0.1998012934149006,0.17642229400894358,0.02337899940595703
4,0.1998012934149006,0.17642229400894358,0.02337899940595703
5,0.1998012934149006,0.17642229400894358,0.02337899940595703
2,0.1998012934149006,0.17642229400894358,0.02337899940595703
2,0.1998012934149006,0.17642229400894358,0.02337899940595703
3,0.1998012934149006,0.17642229400894358,0.02337899940595703
3,0.1998012934149006,0.17642229400894358,0.02337899940595703
6,2.0531759259011393,1.282678632584243,0.7704972933168963
5,2.0531759259011393,1.282678632584243,0.7704972933168963
