classes,cohesion,coupling,fitness
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
1,0.3952380952380952,0.0,0.3952380952380952
6,1.4266321913380737,0.4736586942469296,0.9529734970911441
6,1.4266321913380737,0.4736586942469296,0.9529734970911441
5,1.4266321913380737,0.4736586942469296,0.9529734970911441
5,1.4266321913380737,0.4736586942469296,0.9529734970911441
6,1.4266321913380737,0.4736586942469296,0.9529734970911441
3,1.4266321913380737,0.4736586942469296,0.9529734970911441
