classes,cohesion,coupling,fitness
9,1.248875184169302,3.682456348877917,-2.433581164708615
6,0.9130576762039062,1.8397790304168617,-0.9267213542129555
5,1.1947284335570592,0.6213007345814878,0.5734276989755713
5,1.0931874033139857,0.20548649662573712,0.8877009066882485
5,1.0931874033139857,0.20548649662573712,0.8877009066882485
5,1.0933631609004146,0.1145731905225576,0.9787899703778571
6,1.0933631609004146,0.1145731905225576,0.9787899703778571
6,1.0933631609004146,0.1145731905225576,0.9787899703778571
5,1.0933631609004146,0.1145731905225576,0.9787899703778571
5,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
4,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
6,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
3,1.0933631609004146,0.1145731905225576,0.9787899703778571
2,1.0933631609004146,0.1145731905225576,0.9787899703778571
