classes,cohesion,coupling,fitness
80,18.0,46.33333333333333,-28.33333333333333
76,18.0,46.33333333333332,-28.33333333333332
14,5.553720238095237,15.766187169312166,-10.21246693121693
10,4.191558441558441,8.306517556517555,-4.114959114959114
7,2.446145124716553,3.880511463844797,-1.434366339128244
6,1.9048078923364966,3.2879860033178114,-1.3831781109813148
8,1.9342403628117912,2.4093915343915344,-0.4751511715797432
7,1.9342403628117915,2.409391534391534,-0.4751511715797425
7,0.7746464646464646,1.1759494949494949,-0.4013030303030303
5,1.1870372396688187,0.44968450231608126,0.7373527373527374
5,1.1870372396688187,0.44968450231608126,0.7373527373527374
4,1.1870372396688187,0.44968450231608126,0.7373527373527374
6,1.1870372396688187,0.44968450231608126,0.7373527373527374
5,1.1870372396688187,0.44968450231608126,0.7373527373527374
5,1.1870372396688187,0.44968450231608126,0.7373527373527374
4,1.1878611716668397,0.2591093117408907,0.928751859925949
2,1.1878611716668397,0.2591093117408907,0.928751859925949
4,1.1878611716668397,0.2591093117408907,0.928751859925949
4,1.1878611716668397,0.2591093117408907,0.928751859925949
4,1.1878611716668397,0.2591093117408907,0.928751859925949
2,1.1878611716668397,0.2591093117408907,0.928751859925949
